water_source_clean,water_source_category,water_tech_clean,clean_adm1,clean_adm2,clean_adm3,status_clean,distance_to_primary,distance_to_secondary,distance_to_tertiary,distance_to_city,distance_to_town,local_population,served_population,crucialness,pressure,staleness_score,latitude,longitude,chirps_30_precipitation,ndvi_30_NDVI,lst_30_LST_Day_1km,pop_population,risk_score
Protected Well,Well,Public Tapstand,Nyamira,North Mugirango,Itibo,"Functional, not in use",15397.455025396072,3748.5334720643673,551.340930736125,28833.04869764137,6113.113940275896,2530.0,331.0,0.1308300395256917,1.1033333333333333,67.79661849522455,-0.568607,35.006682,3.7704017162323,0.8107500000000001,20.390000000000043,9.383111000061035,1
Protected Well,Well,Motorized Pump - Electric,Kakamega,Navakholo,Bunyala East,Non-Functional,17785.94385267504,8901.707700033723,4476.882184220323,22571.363786938724,15459.352719526902,2115.0,768.0,0.3631205673758865,2.56,99.96848364814444,0.482672,34.706482,5.461534023284912,0.73585,23.66500000000002,7.0048112869262695,2
Protected Well,Well,Motorized Pump - Electric,Kakamega,Butere,Marama North,Non-Functional,12023.342225393986,3851.293671139608,3591.7368992095367,21088.32932113506,2681.862016064141,2311.0,192.0,0.0830809173517957,0.64,93.62436211731712,0.192718,34.58329,5.864280700683594,0.7585000000000001,23.465000000000032,5.353074073791504,0
Protected Well,Well,Motorized Pump - Electric,Kakamega,Ikolomani,Idakho North,Non-Functional,5807.072770617247,11724.897510988769,2272.0868387489027,9990.29096476502,7557.566165612305,1479.0,399.0,0.2697768762677485,1.33,84.6413067478578,0.224481,34.681878,6.251596927642822,0.7587,23.150000000000038,4.45070219039917,1
Protected Well,Well,Public Tapstand,Makueni,Mbooni,Mbooni,"Functional, not in use",18731.179464913625,5779.134527973595,1159.8069468777103,24497.04150472893,17146.54984748106,2383.0,717.0,0.3008812421317667,2.39,67.75389118766773,-1.666646,37.432187,0.4063907265663147,0.6871,20.875000000000057,5.161320686340332,1
Protected Well,Well,Public Tapstand,Nyamira,Borabu,Kiabonyoru,"Functional, not in use",18819.99670797077,47.59871647573745,311.94266423246785,25685.668357194896,3864.545340252967,4826.0,4626.0,0.9585578118524658,15.42,67.62587076472403,-0.554247,34.96819,4.225252628326416,0.7313500000000001,20.805000000000007,17.112363815307617,2
Protected Well,Well,Motorized Pump - Electric,Bungoma,Kanduyi,Musikoma,Non-Functional,1902.1734974321253,2754.9940654494976,1883.3432772388403,38441.14422946624,2128.598688158035,5740.0,4369.0,0.7611498257839722,14.563333333333333,93.50638996919308,0.56179,34.543293,5.121316909790039,0.75415,24.15500000000003,9.34624481201172,3
Sand or Sub-surface Dam,Sand or Sub-surface Dam,Public Tapstand,Kakamega,Ikolomani,Idakho North,"Functional, needs repair",5725.133505614199,10181.465673904537,2770.962493539352,7947.537109500763,6933.900620110014,3637.0,216.0,0.0593896068188067,1.1566666666666667,67.68985071090341,0.226085,34.706788,6.251596927642822,0.78745,23.11500000000001,9.568680763244627,1
Protected Well,Well,Motorized Pump - Electric,Kakamega,Khwisero,Kisa Central,Non-Functional,7442.804317968533,5091.228384252808,1668.9048295336745,30086.988882630743,4635.643687932731,3523.0,157.0,0.0445642917967641,0.5233333333333333,89.61081311791284,0.174588,34.502232,5.908218860626221,0.763,23.82000000000005,8.353850364685059,1
Protected Well,Well,Motorized Pump - Electric,Siaya,Ugenya,East Ugenya,Non-Functional,7878.348439027324,2961.4780611720603,2812.273920696274,30880.902348589352,8301.293534350709,1784.0,320.0,0.179372197309417,1.0666666666666669,93.3002962906252,0.280307,34.296288,6.123486042022705,0.7452500000000001,24.485000000000014,3.2343196868896484,1
