DayOfYear,DetailedQA,EVI,NDVI,RelativeAzimuth,SolarZenith,SummaryQA,ViewZenith,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07
35,2116,1422,2243,15952,3342,0,357,1548,2441,809,3666
40,2116,2337,4699,11395,3338,0,811,789,2094,354,1541
33,2449,2510,4004,14785,2882,1,4412,1121,2557,668,1867
47,2185,647,1083,5685,3451,1,819,1741,2169,828,2070
35,2116,2808,5464,-1578,3525,0,536,653,2204,298,1386
45,2116,841,1495,12599,3374,0,1900,1585,2140,689,2374
35,2116,1617,3129,15899,3330,0,936,1144,2174,407,2684
40,2116,860,1200,4462,3446,0,858,2385,3027,1143,3473
40,2116,784,1629,13885,3462,0,979,1169,1623,556,1562
35,2116,2494,5039,16066,3261,0,1386,708,2114,299,1394
35,2185,580,1115,-84,3554,1,325,1542,1927,613,1854
33,2120,1343,1900,7684,3329,1,3040,1980,2895,1023,2838
35,2116,1048,1941,13628,3422,0,1310,1611,2384,478,3012
35,2116,1114,1783,16313,3483,0,166,2081,2970,725,3128
47,2185,1073,2073,9561,3525,1,1592,1303,1979,547,1833
42,2116,1131,2240,15117,3435,0,808,1445,2273,349,2987
35,2185,1115,2667,7501,3422,1,849,848,1460,376,1582
35,2185,2497,4536,-1944,3428,1,660,840,2219,445,1336
35,2116,1315,3416,15975,3237,0,1149,678,1380,278,1031
37,2116,2399,3648,1890,3364,0,547,1250,2675,706,2117
37,2116,1463,2333,5729,3372,0,2435,1583,2542,761,2540
33,2189,1996,3496,13831,2942,1,4208,1211,2432,567,2484
47,2116,615,969,7210,3385,0,848,1855,2259,945,2570
33,2116,4438,7197,15670,3254,0,1894,477,2924,268,957
47,2185,666,994,5792,3510,1,974,2132,2601,1053,2829
35,2116,1509,2560,-2014,3509,0,652,1460,2453,627,3270
40,2116,878,1347,-120,3576,0,518,1869,2448,953,3132
33,2189,2191,4150,15759,2767,1,4968,947,2277,367,1967
39,3554,3335,5577,10258,3073,3,4533,1002,3017,627,1441
40,2116,598,1214,10523,3382,0,896,1193,1522,661,1588
42,2116,3797,7066,-1294,3479,0,615,445,2465,231,846
